source;target;pmid
A11.118.637.555.567.569.220;A11;36172351
A11.118.637.555.567.569.220;A11.118;36172351
A11.118.637.555.567.569.220;A11.118.637;36172351
A11.118.637.555.567.569.220;A11.118.637.555;36172351
A11.118.637.555.567.569.220;A11.118.637.555.567;36172351
A11.118.637.555.567.569.220;A11.118.637.555.567.569;36172351
A11.118.637.555.567.569.220;A11.118.637.555.567.569.220;36172351
A15.145.229.637.555.567.569.220;A15;36172351
A15.145.229.637.555.567.569.220;A15.145;36172351
A15.145.229.637.555.567.569.220;A15.145.229;36172351
A15.145.229.637.555.567.569.220;A15.145.229.637;36172351
A15.145.229.637.555.567.569.220;A15.145.229.637.555;36172351
A15.145.229.637.555.567.569.220;A15.145.229.637.555.567;36172351
A15.145.229.637.555.567.569.220;A15.145.229.637.555.567.569;36172351
A15.145.229.637.555.567.569.220;A15.145.229.637.555.567.569.220;36172351
A15.382.490.555.567.569.220;A15;36172351
A15.382.490.555.567.569.220;A15.382;36172351
A15.382.490.555.567.569.220;A15.382.490;36172351
A15.382.490.555.567.569.220;A15.382.490.555;36172351
A15.382.490.555.567.569.220;A15.382.490.555.567;36172351
A15.382.490.555.567.569.220;A15.382.490.555.567.569;36172351
A15.382.490.555.567.569.220;A15.382.490.555.567.569.220;36172351
A01.378;A01;36135072
A01.378;A01.378;36135072
A02.835.232.043.650.883;A02;36111473
A02.835.232.043.650.883;A02.835;36111473
A02.835.232.043.650.883;A02.835.232;36111473
A02.835.232.043.650.883;A02.835.232.043;36111473
A02.835.232.043.650.883;A02.835.232.043.650;36111473
A02.835.232.043.650.883;A02.835.232.043.650.883;36111473
A02.835.232;A02;36091939
A02.835.232;A02.835;36091939
A02.835.232;A02.835.232;36091939
A10.165.265;A10;36091939
A10.165.265;A10.165;36091939
A10.165.265;A10.165.265;36091939
A01.941.500;A01;36049023
A01.941.500;A01.941;36049023
A01.941.500;A01.941.500;36049023
A02.835.232.087.090.700;A02;36049023
A02.835.232.087.090.700;A02.835;36049023
A02.835.232.087.090.700;A02.835.232;36049023
A02.835.232.087.090.700;A02.835.232.087;36049023
A02.835.232.087.090.700;A02.835.232.087.090;36049023
A02.835.232.087.090.700;A02.835.232.087.090.700;36049023
A11.329.629;A11;35927428
A11.329.629;A11.329;35927428
A11.329.629;A11.329.629;35927428
A11.500;A11;35876502
A11.500;A11.500;35876502
A02.835.232.781.885;A02;35876502
A02.835.232.781.885;A02.835;35876502
A02.835.232.781.885;A02.835.232;35876502
A02.835.232.781.885;A02.835.232.781;35876502
A02.835.232.781.885;A02.835.232.781.885;35876502
A02.835.232.087.090.700;A02;35868588
A02.835.232.087.090.700;A02.835;35868588
A02.835.232.087.090.700;A02.835.232;35868588
A02.835.232.087.090.700;A02.835.232.087;35868588
A02.835.232.087.090.700;A02.835.232.087.090;35868588
A02.835.232.087.090.700;A02.835.232.087.090.700;35868588
A02.513;A02;35848177
A02.513;A02.513;35848177
A10.165.669;A10;35848177
A10.165.669;A10.165;35848177
A10.165.669;A10.165.669;35848177
A02.835.232.087.090.700;A02;35848177
A02.835.232.087.090.700;A02.835;35848177
A02.835.232.087.090.700;A02.835.232;35848177
A02.835.232.087.090.700;A02.835.232.087;35848177
A02.835.232.087.090.700;A02.835.232.087.090;35848177
A02.835.232.087.090.700;A02.835.232.087.090.700;35848177
A02.835.583.405.930;A02;35848177
A02.835.583.405.930;A02.835;35848177
A02.835.583.405.930;A02.835.583;35848177
A02.835.583.405.930;A02.835.583.405;35848177
A02.835.583.405.930;A02.835.583.405.930;35848177
A02.835.232.087.090.700;A02;35815484
A02.835.232.087.090.700;A02.835;35815484
A02.835.232.087.090.700;A02.835.232;35815484
A02.835.232.087.090.700;A02.835.232.087;35815484
A02.835.232.087.090.700;A02.835.232.087.090;35815484
A02.835.232.087.090.700;A02.835.232.087.090.700;35815484
A02.835.232.087.090.850;A02;35815484
A02.835.232.087.090.850;A02.835;35815484
A02.835.232.087.090.850;A02.835.232;35815484
A02.835.232.087.090.850;A02.835.232.087;35815484
A02.835.232.087.090.850;A02.835.232.087.090;35815484
A02.835.232.087.090.850;A02.835.232.087.090.850;35815484
A01.378.610.450;A01;35716193
A01.378.610.450;A01.378;35716193
A01.378.610.450;A01.378.610;35716193
A01.378.610.450;A01.378.610.450;35716193
A11.251.210.190;A11;35653034
A11.251.210.190;A11.251;35653034
A11.251.210.190;A11.251.210;35653034
A11.251.210.190;A11.251.210.190;35653034
A11.251.860.180;A11;35653034
A11.251.860.180;A11.251;35653034
A11.251.860.180;A11.251.860;35653034
A11.251.860.180;A11.251.860.180;35653034
A02.835.232.087.090.700;A02;35642908
A02.835.232.087.090.700;A02.835;35642908
A02.835.232.087.090.700;A02.835.232;35642908
A02.835.232.087.090.700;A02.835.232.087;35642908
A02.835.232.087.090.700;A02.835.232.087.090;35642908
A02.835.232.087.090.700;A02.835.232.087.090.700;35642908
A01.378;A01;35590280
A01.378;A01.378;35590280
A02.835.232.781.572;A02;35576308
A02.835.232.781.572;A02.835;35576308
A02.835.232.781.572;A02.835.232;35576308
A02.835.232.781.572;A02.835.232.781;35576308
A02.835.232.781.572;A02.835.232.781.572;35576308
A02.835.232.781.885;A02;35576308
A02.835.232.781.885;A02.835;35576308
A02.835.232.781.885;A02.835.232;35576308
A02.835.232.781.885;A02.835.232.781;35576308
A02.835.232.781.885;A02.835.232.781.885;35576308
A01.456.830.200;A01;35537059
A01.456.830.200;A01.456;35537059
A01.456.830.200;A01.456.830;35537059
A01.456.830.200;A01.456.830.200;35537059
A02.835.232.781.750.400;A02;35537059
A02.835.232.781.750.400;A02.835;35537059
A02.835.232.781.750.400;A02.835.232;35537059
A02.835.232.781.750.400;A02.835.232.781;35537059
A02.835.232.781.750.400;A02.835.232.781.750;35537059
A02.835.232.781.750.400;A02.835.232.781.750.400;35537059
A02.835.232.043.150;A02;35491561
A02.835.232.043.150;A02.835;35491561
A02.835.232.043.150;A02.835.232;35491561
A02.835.232.043.150;A02.835.232.043;35491561
A02.835.232.043.150;A02.835.232.043.150;35491561
A02.835.232;A02;35467097
A02.835.232;A02.835;35467097
A02.835.232;A02.835.232;35467097
A10.165.265;A10;35467097
A10.165.265;A10.165;35467097
A10.165.265;A10.165.265;35467097
A11.500;A11;35467097
A11.500;A11.500;35467097
A02.835.232;A02;35466631
A02.835.232;A02.835;35466631
A02.835.232;A02.835.232;35466631
A10.165.265;A10;35466631
A10.165.265;A10.165;35466631
A10.165.265;A10.165.265;35466631
A02.835.232;A02;35446992
A02.835.232;A02.835;35446992
A02.835.232;A02.835.232;35446992
A10.165.265;A10;35446992
A10.165.265;A10.165;35446992
A10.165.265;A10.165.265;35446992
A02.835.232.409;A02;35381802
A02.835.232.409;A02.835;35381802
A02.835.232.409;A02.835.232;35381802
A02.835.232.409;A02.835.232.409;35381802
A01.378.610.050;A01;35294154
A01.378.610.050;A01.378;35294154
A01.378.610.050;A01.378.610;35294154
A01.378.610.050;A01.378.610.050;35294154
A01.378.610.250.300.792.380;A01;35294154
A01.378.610.250.300.792.380;A01.378;35294154
A01.378.610.250.300.792.380;A01.378.610;35294154
A01.378.610.250.300.792.380;A01.378.610.250;35294154
A01.378.610.250.300.792.380;A01.378.610.250.300;35294154
A01.378.610.250.300.792.380;A01.378.610.250.300.792;35294154
A01.378.610.250.300.792.380;A01.378.610.250.300.792.380;35294154
A02.835.232.169;A02;35291360
A02.835.232.169;A02.835;35291360
A02.835.232.169;A02.835.232;35291360
A02.835.232.169;A02.835.232.169;35291360
A02.835.232.087.090.700;A02;35291360
A02.835.232.087.090.700;A02.835;35291360
A02.835.232.087.090.700;A02.835.232;35291360
A02.835.232.087.090.700;A02.835.232.087;35291360
A02.835.232.087.090.700;A02.835.232.087.090;35291360
A02.835.232.087.090.700;A02.835.232.087.090.700;35291360
A02.835.232.043.150;A02;35264178
A02.835.232.043.150;A02.835;35264178
A02.835.232.043.150;A02.835.232;35264178
A02.835.232.043.150;A02.835.232.043;35264178
A02.835.232.043.150;A02.835.232.043.150;35264178
A11.118.188;A11;35222589
A11.118.188;A11.118;35222589
A11.118.188;A11.118.188;35222589
A15.145.229.188;A15;35222589
A15.145.229.188;A15.145;35222589
A15.145.229.188;A15.145.229;35222589
A15.145.229.188;A15.145.229.188;35222589
A11.118.637.555.567;A11;35222589
A11.118.637.555.567;A11.118;35222589
A11.118.637.555.567;A11.118.637;35222589
A11.118.637.555.567;A11.118.637.555;35222589
A11.118.637.555.567;A11.118.637.555.567;35222589
A15.145.229.637.555.567;A15;35222589
A15.145.229.637.555.567;A15.145;35222589
