source;target;pmid
A11.251.210.190;A11;36320072
A11.251.210.190;A11.251;36320072
A11.251.210.190;A11.251.210;36320072
A11.251.210.190;A11.251.210.190;36320072
A11.251.860.180;A11;36320072
A11.251.860.180;A11.251;36320072
A11.251.860.180;A11.251.860;36320072
A11.251.860.180;A11.251.860.180;36320072
A11.118.637.555.567.569;A11;36320072
A11.118.637.555.567.569;A11.118;36320072
A11.118.637.555.567.569;A11.118.637;36320072
A11.118.637.555.567.569;A11.118.637.555;36320072
A11.118.637.555.567.569;A11.118.637.555.567;36320072
A11.118.637.555.567.569;A11.118.637.555.567.569;36320072
A15.145.229.637.555.567.569;A15;36320072
A15.145.229.637.555.567.569;A15.145;36320072
A15.145.229.637.555.567.569;A15.145.229;36320072
A15.145.229.637.555.567.569;A15.145.229.637;36320072
A15.145.229.637.555.567.569;A15.145.229.637.555;36320072
A15.145.229.637.555.567.569;A15.145.229.637.555.567;36320072
A15.145.229.637.555.567.569;A15.145.229.637.555.567.569;36320072
A15.382.490.555.567.569;A15;36320072
A15.382.490.555.567.569;A15.382;36320072
A15.382.490.555.567.569;A15.382.490;36320072
A15.382.490.555.567.569;A15.382.490.555;36320072
A15.382.490.555.567.569;A15.382.490.555.567;36320072
A15.382.490.555.567.569;A15.382.490.555.567.569;36320072
A01.378;A01;36320002
A01.378;A01.378;36320002
A11.251.210.190;A11;36316642
A11.251.210.190;A11.251;36316642
A11.251.210.190;A11.251.210;36316642
A11.251.210.190;A11.251.210.190;36316642
A11.251.860.180;A11;36316642
A11.251.860.180;A11.251;36316642
A11.251.860.180;A11.251.860;36316642
A11.251.860.180;A11.251.860.180;36316642
A01.941.875;A01;36309387
A01.941.875;A01.941;36309387
A01.941.875;A01.941.875;36309387
A01.941.875;A01;36309364
A01.941.875;A01.941;36309364
A01.941.875;A01.941.875;36309364
A01.923.761;A01;36295612
A01.923.761;A01.923;36295612
A01.923.761;A01.923.761;36295612
A02.633.567;A02;36295612
A02.633.567;A02.633;36295612
A02.633.567;A02.633.567;36295612
A10.690.552.500;A10;36295612
A10.690.552.500;A10.690;36295612
A10.690.552.500;A10.690.552;36295612
A10.690.552.500;A10.690.552.500;36295612
A11.251.210.190;A11;36293439
A11.251.210.190;A11.251;36293439
A11.251.210.190;A11.251.210;36293439
A11.251.210.190;A11.251.210.190;36293439
A11.251.860.180;A11;36293439
A11.251.860.180;A11.251;36293439
A11.251.860.180;A11.251.860;36293439
A11.251.860.180;A11.251.860.180;36293439
A01.378.610;A01;36290890
A01.378.610;A01.378;36290890
A01.378.610;A01.378.610;36290890
A01.941.875;A01;36288875
A01.941.875;A01.941;36288875
A01.941.875;A01.941.875;36288875
A11.251.210.190;A11;36274134
A11.251.210.190;A11.251;36274134
A11.251.210.190;A11.251.210;36274134
A11.251.210.190;A11.251.210.190;36274134
A11.251.860.180;A11;36274134
A11.251.860.180;A11.251;36274134
A11.251.860.180;A11.251.860;36274134
A11.251.860.180;A11.251.860.180;36274134
A11.251.210.190;A11;36274066
A11.251.210.190;A11.251;36274066
A11.251.210.190;A11.251.210;36274066
A11.251.210.190;A11.251.210.190;36274066
A11.251.860.180;A11;36274066
A11.251.860.180;A11.251;36274066
A11.251.860.180;A11.251.860;36274066
A11.251.860.180;A11.251.860.180;36274066
A11.251.210.190;A11;36266695
A11.251.210.190;A11.251;36266695
A11.251.210.190;A11.251.210;36266695
A11.251.210.190;A11.251.210.190;36266695
A11.251.860.180;A11;36266695
A11.251.860.180;A11.251;36266695
A11.251.860.180;A11.251.860;36266695
A11.251.860.180;A11.251.860.180;36266695
A11.251.210.190;A11;36252336
A11.251.210.190;A11.251;36252336
A11.251.210.190;A11.251.210;36252336
A11.251.210.190;A11.251.210.190;36252336
A11.251.860.180;A11;36252336
A11.251.860.180;A11.251;36252336
A11.251.860.180;A11.251.860;36252336
A11.251.860.180;A11.251.860.180;36252336
A11.251.210.190;A11;36250452
A11.251.210.190;A11.251;36250452
A11.251.210.190;A11.251.210;36250452
A11.251.210.190;A11.251.210.190;36250452
A11.251.860.180;A11;36250452
A11.251.860.180;A11.251;36250452
A11.251.860.180;A11.251.860;36250452
A11.251.860.180;A11.251.860.180;36250452
A11.251.210.190;A11;36229873
A11.251.210.190;A11.251;36229873
A11.251.210.190;A11.251.210;36229873
A11.251.210.190;A11.251.210.190;36229873
A11.251.860.180;A11;36229873
A11.251.860.180;A11.251;36229873
A11.251.860.180;A11.251.860;36229873
A11.251.860.180;A11.251.860.180;36229873
A11.251.210.190;A11;36222295
A11.251.210.190;A11.251;36222295
A11.251.210.190;A11.251.210;36222295
A11.251.210.190;A11.251.210.190;36222295
A11.251.860.180;A11;36222295
A11.251.860.180;A11.251;36222295
A11.251.860.180;A11.251.860;36222295
A11.251.860.180;A11.251.860.180;36222295
A11.284.295.588;A11;36211364
A11.284.295.588;A11.284;36211364
A11.284.295.588;A11.284.295;36211364
A11.284.295.588;A11.284.295.588;36211364
A11.251.210.190;A11;36210710
A11.251.210.190;A11.251;36210710
A11.251.210.190;A11.251.210;36210710
A11.251.210.190;A11.251.210.190;36210710
A11.251.860.180;A11;36210710
A11.251.860.180;A11.251;36210710
A11.251.860.180;A11.251.860;36210710
A11.251.860.180;A11.251.860.180;36210710
A01.378.610;A01;36207771
A01.378.610;A01.378;36207771
A01.378.610;A01.378.610;36207771
A11.251.210.190;A11;36199080
A11.251.210.190;A11.251;36199080
A11.251.210.190;A11.251.210;36199080
A11.251.210.190;A11.251.210.190;36199080
A11.251.860.180;A11;36199080
A11.251.860.180;A11.251;36199080
A11.251.860.180;A11.251.860;36199080
A11.251.860.180;A11.251.860.180;36199080
A08.186.211.132.659;A08;36190222
A08.186.211.132.659;A08.186;36190222
A08.186.211.132.659;A08.186.211;36190222
A08.186.211.132.659;A08.186.211.132;36190222
A08.186.211.132.659;A08.186.211.132.659;36190222
A11.251.210.190;A11;36184504
A11.251.210.190;A11.251;36184504
A11.251.210.190;A11.251.210;36184504
A11.251.210.190;A11.251.210.190;36184504
A11.251.860.180;A11;36184504
A11.251.860.180;A11.251;36184504
A11.251.860.180;A11.251.860;36184504
A11.251.860.180;A11.251.860.180;36184504
A11.251.210.190;A11;36184123
A11.251.210.190;A11.251;36184123
A11.251.210.190;A11.251.210;36184123
A11.251.210.190;A11.251.210.190;36184123
A11.251.860.180;A11;36184123
A11.251.860.180;A11.251;36184123
A11.251.860.180;A11.251.860;36184123
A11.251.860.180;A11.251.860.180;36184123
A11.329.830.500;A11;36183781
A11.329.830.500;A11.329;36183781
A11.329.830.500;A11.329.830;36183781
A11.329.830.500;A11.329.830.500;36183781
A11.872.590.500;A11;36183781
A11.872.590.500;A11.872;36183781
A11.872.590.500;A11.872.590;36183781
A11.872.590.500;A11.872.590.500;36183781
A11.251.210.190;A11;36183058
A11.251.210.190;A11.251;36183058
A11.251.210.190;A11.251.210;36183058
A11.251.210.190;A11.251.210.190;36183058
A11.251.860.180;A11;36183058
A11.251.860.180;A11.251;36183058
A11.251.860.180;A11.251.860;36183058
A11.251.860.180;A11.251.860.180;36183058
A01.941.750;A01;36180843
A01.941.750;A01.941;36180843
A01.941.750;A01.941.750;36180843
A01.378;A01;36180843
A01.378;A01.378;36180843
A02.835.232.087.090.400;A02;36180843
A02.835.232.087.090.400;A02.835;36180843
A02.835.232.087.090.400;A02.835.232;36180843
A02.835.232.087.090.400;A02.835.232.087;36180843
A02.835.232.087.090.400;A02.835.232.087.090;36180843
A02.835.232.087.090.400;A02.835.232.087.090.400;36180843
A11.251.210.190;A11;36177059
A11.251.210.190;A11.251;36177059
A11.251.210.190;A11.251.210;36177059
A11.251.210.190;A11.251.210.190;36177059
A11.251.860.180;A11;36177059
A11.251.860.180;A11.251;36177059
A11.251.860.180;A11.251.860;36177059
A11.251.860.180;A11.251.860.180;36177059
A03.556.124.526.209.290;A03;36174075
A03.556.124.526.209.290;A03.556;36174075
A03.556.124.526.209.290;A03.556.124;36174075
A03.556.124.526.209.290;A03.556.124.526;36174075
A03.556.124.526.209.290;A03.556.124.526.209;36174075
A03.556.124.526.209.290;A03.556.124.526.209.290;36174075
A03.556.249.249.209.290;A03;36174075
A03.556.249.249.209.290;A03.556;36174075
A03.556.249.249.209.290;A03.556.249;36174075
A03.556.249.249.209.290;A03.556.249.249;36174075
A03.556.249.249.209.290;A03.556.249.249.209;36174075
A03.556.249.249.209.290;A03.556.249.249.209.290;36174075
A11.642;A11;36172793
A11.642;A11.642;36172793
A04.411;A04;36171612
A04.411;A04.411;36171612
A11.251.210.190;A11;36171207
A11.251.210.190;A11.251;36171207
A11.251.210.190;A11.251.210;36171207
A11.251.210.190;A11.251.210.190;36171207
A11.251.860.180;A11;36171207
A11.251.860.180;A11.251;36171207
A11.251.860.180;A11.251.860;36171207
A11.251.860.180;A11.251.860.180;36171207
A11.251.210.190;A11;36170914
A11.251.210.190;A11.251;36170914
A11.251.210.190;A11.251.210;36170914
A11.251.210.190;A11.251.210.190;36170914
A11.251.860.180;A11;36170914
A11.251.860.180;A11.251;36170914
A11.251.860.180;A11.251.860;36170914
A11.251.860.180;A11.251.860.180;36170914
A02.835.232.781.324.995;A02;36168884
A02.835.232.781.324.995;A02.835;36168884
A02.835.232.781.324.995;A02.835.232;36168884
A02.835.232.781.324.995;A02.835.232.781;36168884
A02.835.232.781.324.995;A02.835.232.781.324;36168884
A02.835.232.781.324.995;A02.835.232.781.324.995;36168884
A11.251.210.190;A11;36164704
A11.251.210.190;A11.251;36164704
A11.251.210.190;A11.251.210;36164704
A11.251.210.190;A11.251.210.190;36164704
A11.251.860.180;A11;36164704
A11.251.860.180;A11.251;36164704
A11.251.860.180;A11.251.860;36164704
A11.251.860.180;A11.251.860.180;36164704
A11.251.210.190;A11;36164699
A11.251.210.190;A11.251;36164699
A11.251.210.190;A11.251.210;36164699
A11.251.210.190;A11.251.210.190;36164699
A11.251.860.180;A11;36164699
A11.251.860.180;A11.251;36164699
A11.251.860.180;A11.251.860;36164699
A11.251.860.180;A11.251.860.180;36164699
A10.615.284.375;A10;36161414
A10.615.284.375;A10.615;36161414
A10.615.284.375;A10.615.284;36161414
A10.615.284.375;A10.615.284.375;36161414
A13.350.575;A13;36161414
A13.350.575;A13.350;36161414
A13.350.575;A13.350.575;36161414
A16.331.400;A16;36161414
A16.331.400;A16.331;36161414
A16.331.400;A16.331.400;36161414
A11.251.210;A11;36156377
A11.251.210;A11.251;36156377
A11.251.210;A11.251.210;36156377
A11.251.210.190;A11;36155740
A11.251.210.190;A11.251;36155740
A11.251.210.190;A11.251.210;36155740
A11.251.210.190;A11.251.210.190;36155740
A11.251.860.180;A11;36155740
A11.251.860.180;A11.251;36155740
A11.251.860.180;A11.251.860;36155740
A11.251.860.180;A11.251.860.180;36155740
A02.835.232.087.090.400;A02;36155622
A02.835.232.087.090.400;A02.835;36155622
A02.835.232.087.090.400;A02.835.232;36155622
A02.835.232.087.090.400;A02.835.232.087;36155622
A02.835.232.087.090.400;A02.835.232.087.090;36155622
A02.835.232.087.090.400;A02.835.232.087.090.400;36155622
A11.251.210.190;A11;36154031
A11.251.210.190;A11.251;36154031
A11.251.210.190;A11.251.210;36154031
A11.251.210.190;A11.251.210.190;36154031
A11.251.860.180;A11;36154031
A11.251.860.180;A11.251;36154031
A11.251.860.180;A11.251.860;36154031
A11.251.860.180;A11.251.860.180;36154031
A11.251.210.190;A11;36153605
A11.251.210.190;A11.251;36153605
A11.251.210.190;A11.251.210;36153605
A11.251.210.190;A11.251.210.190;36153605
A11.251.860.180;A11;36153605
A11.251.860.180;A11.251;36153605
A11.251.860.180;A11.251.860;36153605
A11.251.860.180;A11.251.860.180;36153605
A11.148;A11;36153321
A11.148;A11.148;36153321
A15.378.316;A15;36153321
A15.378.316;A15.378;36153321
A15.378.316;A15.378.316;36153321
A11.251;A11;36153321
A11.251;A11.251;36153321
A11.251.210.190;A11;36153320
A11.251.210.190;A11.251;36153320
A11.251.210.190;A11.251.210;36153320
A11.251.210.190;A11.251.210.190;36153320
A11.251.860.180;A11;36153320
A11.251.860.180;A11.251;36153320
A11.251.860.180;A11.251.860;36153320
A11.251.860.180;A11.251.860.180;36153320
A11.872.650;A11;36153320
A11.872.650;A11.872;36153320
A11.872.650;A11.872.650;36153320
A11.251.210;A11;36152784
A11.251.210;A11.251;36152784
A11.251.210;A11.251.210;36152784
A04.531.621.578;A04;36143818
A04.531.621.578;A04.531;36143818
A04.531.621.578;A04.531.621;36143818
A04.531.621.578;A04.531.621.578;36143818
A11.251.210.190;A11;36142445
A11.251.210.190;A11.251;36142445
A11.251.210.190;A11.251.210;36142445
A11.251.210.190;A11.251.210.190;36142445
A11.251.860.180;A11;36142445
A11.251.860.180;A11.251;36142445
A11.251.860.180;A11.251.860;36142445
A11.251.860.180;A11.251.860.180;36142445
A11.251.210.190;A11;36126191
A11.251.210.190;A11.251;36126191
A11.251.210.190;A11.251.210;36126191
A11.251.210.190;A11.251.210.190;36126191
A11.251.860.180;A11;36126191
A11.251.860.180;A11.251;36126191
A11.251.860.180;A11.251.860;36126191
A11.251.860.180;A11.251.860.180;36126191
A11.251.210.190;A11;36125961
A11.251.210.190;A11.251;36125961
A11.251.210.190;A11.251.210;36125961
A11.251.210.190;A11.251.210.190;36125961
A11.251.860.180;A11;36125961
A11.251.860.180;A11.251;36125961
A11.251.860.180;A11.251.860;36125961
A11.251.860.180;A11.251.860.180;36125961
A11.251.210.190;A11;36124657
A11.251.210.190;A11.251;36124657
A11.251.210.190;A11.251.210;36124657
A11.251.210.190;A11.251.210.190;36124657
A11.251.860.180;A11;36124657
A11.251.860.180;A11.251;36124657
A11.251.860.180;A11.251.860;36124657
A11.251.860.180;A11.251.860.180;36124657
A11.284.430.106.279.345.190.160.180;A11;36124657
